Provincias;País de residencia;Meses;Total
Albacete;Reino Unido;Mayo;159
Albacete;Reino Unido;Junio;127
Albacete;Reino Unido;Julio;78
Albacete;Reino Unido;Agosto;31
Albacete;Reino Unido;Septiembre;47
Albacete;Reino Unido;Octubre;46
Albacete;Reino Unido;Noviembre;0
Albacete;Reino Unido;Diciembre;..
Albacete;Otros países europeos;Total;170
Albacete;Otros países europeos;Enero;..
Albacete;Otros países europeos;Febrero;..
Albacete;Otros países europeos;Marzo;17
Albacete;Otros países europeos;Abril;71
Albacete;Otros países europeos;Mayo;..
Albacete;Otros países europeos;Junio;38
Albacete;Otros países europeos;Julio;..
Albacete;Otros países europeos;Agosto;0
Albacete;Otros países europeos;Septiembre;0
Albacete;Otros países europeos;Octubre;23
Albacete;Otros países europeos;Noviembre;0
Albacete;Otros países europeos;Diciembre;..
Albacete;Estados Unidos;Total;0
Albacete;Estados Unidos;Enero;..
Albacete;Estados Unidos;Febrero;..
Albacete;Estados Unidos;Marzo;0
Albacete;Estados Unidos;Abril;0
Albacete;Estados Unidos;Mayo;0
Albacete;Estados Unidos;Junio;0
Albacete;Estados Unidos;Julio;0
Albacete;Estados Unidos;Agosto;0
Albacete;Estados Unidos;Septiembre;0
Albacete;Estados Unidos;Octubre;0
Albacete;Estados Unidos;Noviembre;0
Albacete;Estados Unidos;Diciembre;..
Albacete;Resto de América;Total;177
Albacete;Resto de América;Enero;..
Albacete;Resto de América;Febrero;..
Albacete;Resto de América;Marzo;..
Albacete;Resto de América;Abril;50
Albacete;Resto de América;Mayo;0
Albacete;Resto de América;Junio;0
Albacete;Resto de América;Julio;61
Albacete;Resto de América;Agosto;..
Albacete;Resto de América;Septiembre;39
Albacete;Resto de América;Octubre;0
Albacete;Resto de América;Noviembre;0
Albacete;Resto de América;Diciembre;..
Albacete;Países africanos;Total;..
Albacete;Países africanos;Enero;..
Albacete;Países africanos;Febrero;..
Albacete;Países africanos;Marzo;0
Albacete;Países africanos;Abril;0
Albacete;Países africanos;Mayo;0
Albacete;Países africanos;Junio;0
Albacete;Países africanos;Julio;0
Albacete;Países africanos;Agosto;..
Albacete;Países africanos;Septiembre;0
Albacete;Países africanos;Octubre;0
Albacete;Países africanos;Noviembre;0
Albacete;Países africanos;Diciembre;..
Albacete;Resto del mundo;Total;289
Albacete;Resto del mundo;Enero;..
Albacete;Resto del mundo;Febrero;..
Albacete;Resto del mundo;Marzo;0
Albacete;Resto del mundo;Abril;0
Albacete;Resto del mundo;Mayo;0
Albacete;Resto del mundo;Junio;0
Albacete;Resto del mundo;Julio;191
Albacete;Resto del mundo;Agosto;47
Albacete;Resto del mundo;Septiembre;43
Albacete;Resto del mundo;Octubre;..
Albacete;Resto del mundo;Noviembre;0
Albacete;Resto del mundo;Diciembre;..
Alicante/Alacant;Total;Total;5.738.280
Alicante/Alacant;Total;Enero;430.590
Alicante/Alacant;Total;Febrero;410.114
Alicante/Alacant;Total;Marzo;401.032
Alicante/Alacant;Total;Abril;486.034
Alicante/Alacant;Total;Mayo;419.671
Alicante/Alacant;Total;Junio;466.281
Alicante/Alacant;Total;Julio;595.164
Alicante/Alacant;Total;Agosto;723.002
Alicante/Alacant;Total;Septiembre;464.098
Alicante/Alacant;Total;Octubre;519.172
Alicante/Alacant;Total;Noviembre;406.749
Alicante/Alacant;Total;Diciembre;416.373
Alicante/Alacant;Españoles;Total;1.813.290
Alicante/Alacant;Españoles;Enero;37.671
Alicante/Alacant;Españoles;Febrero;27.040
Alicante/Alacant;Españoles;Marzo;53.908
Alicante/Alacant;Españoles;Abril;187.587
Alicante/Alacant;Españoles;Mayo;127.415
Alicante/Alacant;Españoles;Junio;215.492
Alicante/Alacant;Españoles;Julio;328.848
