Provincias;Meses;Total
18 Granada;Noviembre;238
18 Granada;Diciembre;228
19 Guadalajara;Enero;409
19 Guadalajara;Febrero;404
19 Guadalajara;Marzo;435
19 Guadalajara;Abril;383
19 Guadalajara;Mayo;442
19 Guadalajara;Junio;428
19 Guadalajara;Julio;426
19 Guadalajara;Agosto;407
19 Guadalajara;Septiembre;472
19 Guadalajara;Octubre;488
19 Guadalajara;Noviembre;469
19 Guadalajara;Diciembre;442
21 Huelva;Enero;235
21 Huelva;Febrero;270
21 Huelva;Marzo;303
21 Huelva;Abril;309
21 Huelva;Mayo;312
21 Huelva;Junio;320
21 Huelva;Julio;333
21 Huelva;Agosto;388
21 Huelva;Septiembre;328
21 Huelva;Octubre;296
21 Huelva;Noviembre;292
21 Huelva;Diciembre;298
22 Huesca;Enero;530
22 Huesca;Febrero;498
22 Huesca;Marzo;530
22 Huesca;Abril;607
22 Huesca;Mayo;594
22 Huesca;Junio;610
22 Huesca;Julio;659
22 Huesca;Agosto;663
22 Huesca;Septiembre;652
22 Huesca;Octubre;616
22 Huesca;Noviembre;613
22 Huesca;Diciembre;621
23 Jaén;Enero;273
23 Jaén;Febrero;291
23 Jaén;Marzo;301
23 Jaén;Abril;282
23 Jaén;Mayo;300
23 Jaén;Junio;312
23 Jaén;Julio;311
23 Jaén;Agosto;316
23 Jaén;Septiembre;297
23 Jaén;Octubre;306
23 Jaén;Noviembre;315
23 Jaén;Diciembre;309
24 León;Enero;663
24 León;Febrero;681
24 León;Marzo;709
24 León;Abril;775
24 León;Mayo;771
24 León;Junio;867
24 León;Julio;871
24 León;Agosto;867
24 León;Septiembre;842
24 León;Octubre;783
24 León;Noviembre;835
24 León;Diciembre;760
25 Lleida;Enero;524
25 Lleida;Febrero;545
25 Lleida;Marzo;576
25 Lleida;Abril;605
25 Lleida;Mayo;625
25 Lleida;Junio;623
25 Lleida;Julio;671
25 Lleida;Agosto;688
25 Lleida;Septiembre;649
25 Lleida;Octubre;656
25 Lleida;Noviembre;666
25 Lleida;Diciembre;658
27 Lugo;Enero;80
27 Lugo;Febrero;94
27 Lugo;Marzo;114
27 Lugo;Abril;167
27 Lugo;Mayo;157
27 Lugo;Junio;178
27 Lugo;Julio;195
27 Lugo;Agosto;187
27 Lugo;Septiembre;183
27 Lugo;Octubre;172
27 Lugo;Noviembre;144
27 Lugo;Diciembre;128
28 Madrid;Enero;419
28 Madrid;Febrero;432
28 Madrid;Marzo;455
28 Madrid;Abril;443
28 Madrid;Mayo;455
28 Madrid;Junio;461
28 Madrid;Julio;490
28 Madrid;Agosto;483
28 Madrid;Septiembre;493
28 Madrid;Octubre;523
28 Madrid;Noviembre;484
28 Madrid;Diciembre;486
29 Málaga;Enero;1.823
29 Málaga;Febrero;1.860
29 Málaga;Marzo;2.069
29 Málaga;Abril;2.047
29 Málaga;Mayo;2.255
29 Málaga;Junio;2.348
29 Málaga;Julio;2.433
29 Málaga;Agosto;2.453
29 Málaga;Septiembre;2.290
29 Málaga;Octubre;2.162
29 Málaga;Noviembre;1.917
29 Málaga;Diciembre;1.745
30 Murcia;Enero;183
30 Murcia;Febrero;182
30 Murcia;Marzo;192
30 Murcia;Abril;183
30 Murcia;Mayo;202
30 Murcia;Junio;210
30 Murcia;Julio;205
30 Murcia;Agosto;212
30 Murcia;Septiembre;191
30 Murcia;Octubre;210
30 Murcia;Noviembre;204
30 Murcia;Diciembre;220
31 Navarra;Enero;776
31 Navarra;Febrero;781
31 Navarra;Marzo;835
31 Navarra;Abril;891
31 Navarra;Mayo;956
31 Navarra;Junio;987
31 Navarra;Julio;1.021
31 Navarra;Agosto;1.007
31 Navarra;Septiembre;962
31 Navarra;Octubre;955
31 Navarra;Noviembre;925
31 Navarra;Diciembre;912
32 Ourense;Enero;82
32 Ourense;Febrero;100
32 Ourense;Marzo;105
32 Ourense;Abril;120
32 Ourense;Mayo;114
32 Ourense;Junio;123
32 Ourense;Julio;144
32 Ourense;Agosto;146
32 Ourense;Septiembre;120
32 Ourense;Octubre;123
