Provincias;Meses;Total
Navarra;Septiembre;181
Navarra;Octubre;133
Navarra;Noviembre;75
Navarra;Diciembre;37
Ourense;Enero;..
Ourense;Febrero;..
Ourense;Marzo;..
Ourense;Abril;4
Ourense;Mayo;4
Ourense;Junio;12
Ourense;Julio;18
Ourense;Agosto;16
Ourense;Septiembre;12
Ourense;Octubre;..
Ourense;Noviembre;..
Ourense;Diciembre;..
Palencia;Enero;.
Palencia;Febrero;.
Palencia;Marzo;.
Palencia;Abril;.
Palencia;Mayo;.
Palencia;Junio;.
Palencia;Julio;.
Palencia;Agosto;.
Palencia;Septiembre;.
Palencia;Octubre;.
Palencia;Noviembre;.
Palencia;Diciembre;.
Pontevedra;Enero;13
Pontevedra;Febrero;12
Pontevedra;Marzo;20
Pontevedra;Abril;76
Pontevedra;Mayo;63
Pontevedra;Junio;243
Pontevedra;Julio;507
Pontevedra;Agosto;521
Pontevedra;Septiembre;282
Pontevedra;Octubre;22
Pontevedra;Noviembre;.
Pontevedra;Diciembre;.
Rioja, La;Enero;.
Rioja, La;Febrero;60
Rioja, La;Marzo;60
Rioja, La;Abril;.
Rioja, La;Mayo;76
Rioja, La;Junio;83
Rioja, La;Julio;111
Rioja, La;Agosto;120
Rioja, La;Septiembre;91
Rioja, La;Octubre;84
Rioja, La;Noviembre;80
Rioja, La;Diciembre;40
Salamanca;Enero;..
Salamanca;Febrero;8
Salamanca;Marzo;33
Salamanca;Abril;40
Salamanca;Mayo;45
Salamanca;Junio;68
Salamanca;Julio;78
Salamanca;Agosto;92
Salamanca;Septiembre;69
Salamanca;Octubre;30
Salamanca;Noviembre;18
Salamanca;Diciembre;..
Santa Cruz de Tenerife;Enero;24
Santa Cruz de Tenerife;Febrero;27
Santa Cruz de Tenerife;Marzo;25
Santa Cruz de Tenerife;Abril;28
Santa Cruz de Tenerife;Mayo;27
Santa Cruz de Tenerife;Junio;28
Santa Cruz de Tenerife;Julio;31
Santa Cruz de Tenerife;Agosto;31
Santa Cruz de Tenerife;Septiembre;22
Santa Cruz de Tenerife;Octubre;26
Santa Cruz de Tenerife;Noviembre;23
Santa Cruz de Tenerife;Diciembre;26
Segovia;Enero;..
Segovia;Febrero;..
Segovia;Marzo;12
Segovia;Abril;13
Segovia;Mayo;11
Segovia;Junio;19
Segovia;Julio;27
Segovia;Agosto;33
Segovia;Septiembre;17
Segovia;Octubre;12
Segovia;Noviembre;..
Segovia;Diciembre;..
Sevilla;Enero;20
Sevilla;Febrero;29
Sevilla;Marzo;45
Sevilla;Abril;64
Sevilla;Mayo;57
Sevilla;Junio;65
Sevilla;Julio;60
Sevilla;Agosto;22
Sevilla;Septiembre;36
Sevilla;Octubre;37
Sevilla;Noviembre;45
Sevilla;Diciembre;31
Soria;Enero;..
Soria;Febrero;..
Soria;Marzo;..
Soria;Abril;32
Soria;Mayo;27
Soria;Junio;56
Soria;Julio;84
Soria;Agosto;91
Soria;Septiembre;32
Soria;Octubre;24
Soria;Noviembre;..
Soria;Diciembre;..
Tarragona;Enero;65
Tarragona;Febrero;87
Tarragona;Marzo;323
Tarragona;Abril;1.343
Tarragona;Mayo;1.415
Tarragona;Junio;1.629
Tarragona;Julio;1.825
Tarragona;Agosto;1.834
Tarragona;Septiembre;1.456
Tarragona;Octubre;648
Tarragona;Noviembre;122
Tarragona;Diciembre;88
Teruel;Enero;.
Teruel;Febrero;25
Teruel;Marzo;43
Teruel;Abril;69
Teruel;Mayo;52
Teruel;Junio;60
Teruel;Julio;65
Teruel;Agosto;74
Teruel;Septiembre;58
Teruel;Octubre;53
Teruel;Noviembre;37
Teruel;Diciembre;.
Toledo;Enero;.
Toledo;Febrero;22
Toledo;Marzo;.
Toledo;Abril;32
Toledo;Mayo;32
Toledo;Junio;32
Toledo;Julio;32
Toledo;Agosto;32
Toledo;Septiembre;26
Toledo;Octubre;28
Toledo;Noviembre;28
Toledo;Diciembre;.
Valencia/València;Enero;191
Valencia/València;Febrero;208
Valencia/València;Marzo;271
Valencia/València;Abril;305
Valencia/València;Mayo;307
Valencia/València;Junio;361
Valencia/València;Julio;402
Valencia/València;Agosto;423
Valencia/València;Septiembre;322
Valencia/València;Octubre;299
Valencia/València;Noviembre;228
Valencia/València;Diciembre;225
Valladolid;Enero;..
Valladolid;Febrero;..
Valladolid;Marzo;..
Valladolid;Abril;16
Valladolid;Mayo;16
Valladolid;Junio;.
Valladolid;Julio;.
Valladolid;Agosto;.
Valladolid;Septiembre;.
Valladolid;Octubre;..
Valladolid;Noviembre;..
Valladolid;Diciembre;..
Zamora;Enero;..
Zamora;Febrero;..
Zamora;Marzo;..
Zamora;Abril;..
Zamora;Mayo;..
Zamora;Junio;8
Zamora;Julio;10
Zamora;Agosto;18
Zamora;Septiembre;6
Zamora;Octubre;..
Zamora;Noviembre;..
Zamora;Diciembre;..
Zaragoza;Enero;..
Zaragoza;Febrero;30
Zaragoza;Marzo;45
Zaragoza;Abril;59
Zaragoza;Mayo;57
Zaragoza;Junio;63
Zaragoza;Julio;79
Zaragoza;Agosto;97
Zaragoza;Septiembre;67
Zaragoza;Octubre;56
Zaragoza;Noviembre;34
Zaragoza;Diciembre;.
